"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test navigating from Leave to Dashboard and back.

Verifies that returning to Leave module after visiting Dashboard
works correctly.
","2790","test_leave_to_dashboard_and_back[chromium]","tests","Wed Oct 29 21:55:46 UTC 2025","passed","Wed Oct 29 21:55:48 UTC 2025","TestRoundTripNavigation","test_cross_module_navigation","",""
"
Smoke test: Verify user dropdown is accessible.

Critical test to ensure users can access account options.
","832","test_smoke_user_dropdown_accessible[webkit]","tests","Wed Oct 29 21:58:25 UTC 2025","passed","Wed Oct 29 21:58:26 UTC 2025","TestNavigationHeaderSmoke","test_navigation_header","",""
"
Test navigation works correctly after page refresh.

Verifies that refreshing the page doesn't break navigation.
","5547","test_navigation_with_page_refresh[webkit]","tests","Wed Oct 29 21:56:46 UTC 2025","passed","Wed Oct 29 21:56:51 UTC 2025","TestNavigationPerformance","test_cross_module_navigation","",""
"
Test that Leave Period page has global navigation header.

Scenario:
    Given I am on the Leave Period configuration page
    Then I should see the global navigation header
    And I should be able to access user dropdown
    And I should be able to navigate to other modules

This verifies the global navigation component is available.
","128","test_leave_period_preserves_global_navigation[firefox]","tests","Wed Oct 29 21:57:15 UTC 2025","passed","Wed Oct 29 21:57:16 UTC 2025","TestLeavePeriodIntegration","test_leave_period","",""
"
Data-driven test for end date calculation across all 12 months.

This parametrized test verifies that the end date calculation
works correctly for every month of the year, using JSON test data.

Scenario:
    Given I am on the Leave Period configuration page
    When I select a start month and date
    Then the end date should contain the expected month

Test data covers all 12 months with expected end date calculations.

Args:
    start_month: Start month for leave period
    start_date: Start date for leave period
    expected_end_month: Expected month in end date
","435","test_all_months_end_date_calculation[webkit-month_august]","tests","Wed Oct 29 21:59:11 UTC 2025","passed","Wed Oct 29 21:59:11 UTC 2025","TestLeavePeriodMonthConfiguration","test_leave_period","",""
"
Test navigation through all main modules sequentially.

Simulates a user exploring different modules in the application,
verifying that each navigation works correctly.
","9319","test_navigate_through_all_main_modules[firefox]","tests","Wed Oct 29 21:55:51 UTC 2025","passed","Wed Oct 29 21:56:00 UTC 2025","TestSequentialNavigation","test_cross_module_navigation","",""
"
Test that Leave Period page has global navigation header.

Scenario:
    Given I am on the Leave Period configuration page
    Then I should see the global navigation header
    And I should be able to access user dropdown
    And I should be able to navigate to other modules

This verifies the global navigation component is available.
","40","test_leave_period_preserves_global_navigation[chromium]","tests","Wed Oct 29 21:56:42 UTC 2025","passed","Wed Oct 29 21:56:42 UTC 2025","TestLeavePeriodIntegration","test_leave_period","",""
"
Test method chaining for fluent API.

Scenario:
    Given I am on the Leave Period configuration page
    When I use method chaining to configure leave period
    Then all methods should execute successfully
    And the configuration should be saved

This verifies that the fluent interface pattern works correctly.
","401","test_method_chaining[firefox]","tests","Wed Oct 29 21:57:38 UTC 2025","passed","Wed Oct 29 21:57:39 UTC 2025","TestLeavePeriodHappyPath","test_leave_period","",""
"
Test that NavigationHeader is available on all authenticated pages.

Verifies that the navigation header persists when navigating
between different modules.
","2819","test_navigation_header_available_on_all_pages[chromium]","tests","Wed Oct 29 21:57:30 UTC 2025","passed","Wed Oct 29 21:57:33 UTC 2025","TestNavigationHeaderIntegration","test_navigation_header","",""
"
Data-driven test for end date calculation across all 12 months.

This parametrized test verifies that the end date calculation
works correctly for every month of the year, using JSON test data.

Scenario:
    Given I am on the Leave Period configuration page
    When I select a start month and date
    Then the end date should contain the expected month

Test data covers all 12 months with expected end date calculations.

Args:
    start_month: Start month for leave period
    start_date: Start date for leave period
    expected_end_month: Expected month in end date
","189","test_all_months_end_date_calculation[chromium-month_april]","tests","Wed Oct 29 21:58:11 UTC 2025","passed","Wed Oct 29 21:58:11 UTC 2025","TestLeavePeriodMonthConfiguration","test_leave_period","",""
